id,task,priority,status,due_date,category
5,Lesson2,Medium,Not Started,2024-11-17,Deep Learning
8,Lab7,High,Not Started,2024-11-15,ECON360
9,Charlie1,Medium,Not Started,2024-11-17,Robotics
10,HW7,High,Not Started,2024-11-17,MGMT306
11,Final Project Tables,High,Not Started,2024-11-17,ECON360
12,Python Final Project,Medium,Not Started,2024-11-30,MGMT388
13,SetUp Drone System,Medium,Not Started,2024-11-17,Drone Delivery
14,Integrate Chatbot,Medium,Not Started,2024-11-24,Personal Tracker
15,Finish Documentation,Low,Not Started,2024-12-06,Mellow Space
16,Get Dinner w/ Katherine,High,Not Started,2024-11-15,Katherine
17,Edit Tasks,Medium,Not Started,2024-11-17,Personal Tracker
18,tell archer to stop being a meanie,Medium,Completed,2024-11-16,Katherine
19,rizz +1000000,Medium,Not Started,2024-11-26,Katherine
20,quit clubs,High,Not Started,2024-11-17,Katherine
21,kiss archer,High,Completed,2024-11-16,Katherine
22,download minecraft,High,In Progress,2024-11-16,Katherine
23,hurry up and study math,High,Not Started,2024-11-16,Katherine
24,freedom,High,Not Started,2024-11-27,Katherine
25,ultimate freedom,High,Not Started,2024-12-14,Katherine
